Linux 6.6.74+rpt-rpi-v8 (snow) 	07/03/25 	_aarch64_	(4 CPU)

12:40:24     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:41:29     all   29.92    0.00    6.39    0.26    0.00    0.26    0.00    0.00    0.00   63.17
12:41:30     all   24.23    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   69.59
12:41:31     all   27.15    0.00    5.48    0.00    0.00    0.26    0.00    0.00    0.00   67.10
12:41:32     all   26.63    0.00    6.03    0.00    0.00    0.50    0.00    0.00    0.00   66.83
12:41:33     all   28.28    0.00    5.91    0.00    0.00    0.26    0.00    0.00    0.00   65.55
12:41:34     all   28.46    0.00    4.62    0.26    0.00    0.26    0.00    0.00    0.00   66.41
12:41:35     all   26.08    0.00    8.10    0.00    0.00    0.00    0.00    0.00    0.00   65.82
12:41:36     all   25.19    0.00    7.12    0.00    0.00    0.76    0.00    0.00    0.00   66.92
12:41:37     all   27.18    0.00    6.67    0.00    0.00    0.26    0.00    0.00    0.00   65.90
12:41:38     all   27.09    0.00    6.84    0.00    0.00    0.25    0.00    0.00    0.00   65.82
12:41:39     all   30.39    0.00    6.49    0.00    0.00    0.78    0.00    0.00    0.00   62.34
12:41:40     all   30.05    0.00    7.25    0.00    0.00    0.26    0.00    0.00    0.00   62.44
12:41:41     all   29.22    0.00    7.81    0.00    0.00    0.50    0.00    0.00    0.00   62.47
12:41:42     all   27.81    0.00    7.14    0.00    0.00    0.26    0.00    0.00    0.00   64.80
12:41:43     all   26.70    0.00    6.80    0.00    0.00    0.25    0.00    0.00    0.00   66.25
12:41:44     all   28.72    0.00    7.69    0.00    0.00    0.26    0.00    0.00    0.00   63.33
12:41:45     all   27.86    0.00    7.46    0.00    0.00    0.25    0.00    0.00    0.00   64.43
12:41:46     all   24.87    0.00    6.99    0.00    0.00    0.00    0.00    0.00    0.00   68.13
12:41:47     all   25.96    0.00    6.17    0.00    0.00    0.00    0.00    0.00    0.00   67.87
12:41:48     all   29.52    0.00    6.87    0.00    0.00    0.00    0.00    0.00    0.00   63.61
12:41:49     all   26.85    0.00    6.14    0.26    0.00    0.26    0.00    0.00    0.00   66.50
12:41:50     all   24.17    0.00    5.85    0.00    0.00    0.25    0.00    0.00    0.00   69.72
12:41:51     all   28.02    0.00    5.91    0.00    0.00    0.00    0.00    0.00    0.00   66.07
12:41:52     all   27.30    0.00    5.61    0.00    0.00    0.26    0.00    0.00    0.00   66.84
12:41:53     all   25.00    0.00    5.41    0.00    0.00    0.26    0.00    0.00    0.00   69.33
